,k,p,Run,Buckets,Density,issues,l_steps,CI2,d,o,n_agents
664,24,0.15000000000000002,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
666,24,0.15000000000000002,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
682,24,0.45000000000000007,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
681,24,0.45000000000000007,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
680,24,0.35000000000000003,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
679,24,0.35000000000000003,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
678,24,0.45000000000000007,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
677,24,0.35000000000000003,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
676,24,0.35000000000000003,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
665,24,0.05,4,3,0.24242424242424243,4,1500,True,0.55,0.1,100
675,24,0.35000000000000003,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
673,24,0.25000000000000006,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
672,24,0.25000000000000006,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
671,24,0.25000000000000006,4,3,0.24242424242424243,4,1500,True,0.55,0.1,100
670,24,0.15000000000000002,4,3,0.24242424242424243,4,1500,True,0.55,0.1,100
669,24,0.25000000000000006,4,3,0.24242424242424243,4,1500,True,0.55,0.1,100
668,24,0.25000000000000006,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
667,24,0.15000000000000002,4,2,0.24242424242424243,4,1500,True,0.55,0.1,100
674,24,0.05,4,35,0.24242424242424243,4,1500,True,0.55,0.1,100
724,26,0.15000000000000002,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
725,26,0.15000000000000002,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
726,26,0.15000000000000002,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
783,28,0.15000000000000002,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
782,28,0.05,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
781,28,0.05,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
780,27,0.5500000000000002,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
779,27,0.5500000000000002,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
778,28,0.05,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
777,27,0.5500000000000002,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
784,28,0.15000000000000002,4,2,0.2828282828282828,4,1500,True,0.55,0.1,100
776,27,0.45000000000000007,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
774,27,0.5500000000000002,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
773,27,0.5500000000000002,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
772,27,0.45000000000000007,4,2,0.26262626262626265,4,1500,True,0.55,0.1,100
